,image_name,num_faces,inference time,bounding boxes
0,overjoyed-young-diverse-dancers-team-600nw-2095291132.jpg,5,0.39765003900004103,"[(277, 97, 311, 136), (131, 91, 165, 131), (192, 88, 224, 132), (337, 95, 365, 137), (384, 113, 412, 143)]"
1,istockphoto-1368965646-612x612-rot.jpg,10,0.4209411720000844,"[(406, 118, 514, 246), (208, 175, 298, 301), (166, 28, 268, 168), (110, 230, 209, 370), (70, 45, 180, 191), (292, 73, 391, 219), (332, 250, 424, 374), (371, 69, 471, 185), (275, 187, 373, 299), (204, 285, 290, 393)]"
2,istockphoto-1346125184-612x612.jpg,8,0.4274991240000645,"[(4, 22, 88, 148), (447, 58, 522, 162), (216, 79, 276, 160), (293, 51, 369, 151), (139, 67, 220, 167), (386, 75, 450, 157), (64, 63, 138, 156), (529, 50, 599, 142)]"
3,wedding-in-france-54-2.jpg,14,2.0081445749999602,"[(1086, 552, 1196, 699), (1299, 526, 1405, 666), (973, 684, 1084, 826), (2027, 556, 2138, 702), (862, 542, 967, 684), (1547, 559, 1655, 700), (1786, 507, 1896, 657), (633, 573, 750, 720), (784, 658, 894, 796), (488, 625, 618, 784), (1202, 658, 1310, 808), (1424, 681, 1530, 827), (1875, 674, 1980, 815), (1683, 641, 1789, 799)]"
4,fb-6d6fc3e80d01480d9bff4d85d0672eab.jpg,3,0.6962848619999704,"[(364, 159, 392, 199), (442, 197, 468, 229), (521, 161, 553, 199)]"
5,free-photo-of-woman-lying-face-down-on-bed-2.jpeg,1,2.7457809849998966,"[(635, 377, 1631, 1519)]"
6,627718c232c1ab1dcf847fd823051970.jpg,16,0.8697106150000309,"[(427, 512, 503, 611), (75, 474, 143, 567), (559, 441, 637, 540), (191, 464, 263, 554), (357, 392, 425, 480), (416, 368, 485, 462), (244, 345, 310, 437), (530, 363, 602, 463), (499, 491, 565, 587), (-9, 432, 48, 525), (627, 393, 702, 499), (136, 366, 204, 442), (82, 393, 139, 471), (460, 392, 520, 476), (263, 410, 317, 494), (292, 408, 338, 492)]"
7,2PM_2015_Cosmopolitan.jpg,6,1.1913028669999903,"[(555, 190, 749, 446), (363, 549, 567, 810), (810, 41, 994, 275), (849, 442, 1068, 704), (43, 456, 269, 693), (280, 26, 466, 270)]"
8,LE-SSERAFIM-workout-zz-240229-6368b1-rot.jpg,5,0.8823370190000333,"[(128, 553, 245, 641), (176, 288, 300, 381), (149, 72, 266, 159), (155, 764, 272, 851), (154, 1020, 254, 1101)]"
9,administration-adults-city-175697-2-1-2.jpg,3,0.7655188329999874,"[(727, 197, 837, 345), (499, 86, 615, 228), (198, 158, 312, 306)]"
10,istockphoto-1344872631-612x612.jpg,8,0.4724496399999225,"[(444, 56, 526, 170), (171, 98, 252, 208), (90, 58, 166, 168), (339, 85, 415, 184), (259, 15, 321, 99), (149, 42, 212, 129), (259, 87, 327, 179), (383, 18, 447, 111)]"
11,shadow-photo-african-mother-baby-ethiopian-young-holding-her-days-old-little-against-dark-background-199283662.jpg.webp,2,0.5695685750000621,"[(206, 155, 563, 494), (237, 390, 447, 621)]"
12,mom-dad-posing-at-baby-shower.jpg,2,0.7747721370000136,"[(809, 152, 899, 276), (866, 156, 941, 273)]"
13,e168873c-ef94-4328-958f-71320228a656.jpeg.avif,5,1.2456450619999941,"[(1093, 119, 1209, 271), (280, 397, 434, 598), (733, 57, 857, 249), (385, 113, 487, 278), (1005, 438, 1161, 621)]"
14,istockphoto-1494097957-612x612-rot.jpg,2,0.4948506370000132,"[(177, 217, 347, 351), (103, 368, 181, 461)]"
15,istock_000020692156large_wide-56e63576304b2282f1e0bb9e178ae9343e13c944.jpg,14,0.9730252269999937,"[(323, 513, 443, 683), (560, 566, 670, 731), (1067, 578, 1201, 746), (787, 513, 925, 695), (930, 562, 1059, 736), (711, 531, 817, 687), (844, 623, 954, 773), (1051, 449, 1193, 635), (471, 518, 615, 716), (239, 383, 381, 578), (859, 417, 1012, 618), (1169, 528, 1319, 734), (74, 471, 239, 679), (622, 446, 772, 664)]"
16,LE-SSERAFIM-workout-zz-240229-6368b1.jpg,5,0.9873214130000179,"[(859, 178, 947, 300), (388, 154, 472, 270), (597, 127, 683, 244), (1077, 149, 1164, 266), (134, 148, 218, 258)]"
17,shutterstock_762391612-41aca833e9184016833a754be5e7d5c3.jpg,5,1.0964439859999402,"[(395, 269, 505, 431), (549, 303, 641, 450), (813, 262, 906, 398), (1086, 284, 1194, 431), (1259, 208, 1340, 378)]"
18,premium_photo-1683707120318-8fad3fca1f13-rot.jpeg,4,3.3010601639999777,"[(300, 2303, 867, 2750), (61, 212, 778, 706), (225, 1394, 775, 1812), (295, 711, 815, 1140)]"
19,istockphoto-1368965646-612x612.jpg,10,0.5788768869999785,"[(98, 163, 204, 287), (400, 38, 499, 174), (340, 237, 446, 378), (432, 218, 538, 360), (139, 223, 239, 337), (314, 104, 404, 233), (185, 34, 278, 152), (219, 187, 318, 331), (239, 105, 333, 219), (320, 13, 406, 121)]"
20,people-posing-together-registration-day_23-2149096793.jpg.avif,7,0.5453590930000018,"[(565, 74, 615, 137), (183, 65, 233, 128), (492, 80, 540, 146), (351, 65, 397, 133), (281, 76, 329, 136), (426, 78, 472, 135), (110, 111, 156, 168)]"
21,group-of-people-throwing-confetti-at-a-baby-shower.jpeg,7,0.6545734219999986,"[(432, 141, 474, 199), (558, 138, 616, 224), (515, 156, 563, 222), (382, 167, 424, 233), (132, 151, 182, 209), (18, 170, 64, 244), (309, 148, 354, 220)]"
22,istockphoto-1494097957-612x612.jpg,2,0.45423674400001346,"[(219, 60, 353, 230), (372, 225, 450, 300)]"
23,premium_photo-1683707120318-8fad3fca1f13.jpeg,4,3.8783869830000413,"[(235, 292, 701, 866), (1186, 192, 1604, 776), (2285, 69, 2780, 769), (1866, 315, 2276, 811)]"
24,539a7f6913000ccdb1a845478db06346.jpg.avif,2,1.35590864400001,"[(720, 485, 1056, 783), (513, 159, 1201, 666)]"
25,multicultural-love-relationships-concept-white-woman-lying-bed-with-two-dark-skinned-men-indoor-portrait-interracial-friends-two-male-african-guys-relaxing-with-their-girlfriend-bed_149066-2171.jpg,3,0.5619361730000492,"[(107, 34, 203, 164), (252, 182, 345, 298), (422, 63, 518, 174)]"
26,overjoyed-young-diverse-dancers-team-600nw-2095291132-rot copy.jpg,5,0.45410801599996375,"[(98, 288, 136, 321), (89, 429, 134, 467), (93, 233, 137, 260), (90, 376, 132, 404), (112, 183, 145, 216)]"
27,multicultural-love-relationships-concept-white-woman-lying-bed-with-two-dark-skinned-men-indoor-portrait-interracial-friends-two-male-african-guys-relaxing-with-their-girlfriend-bed_149066-2171-rot.jpg,3,0.4902055329999939,"[(278, 116, 370, 232), (420, 248, 519, 384), (107, 236, 203, 353)]"
28,full-shot-friends-partying-outdoors_23-2149009362.jpg.avif,4,0.5555882699999302,"[(567, 75, 613, 137), (319, 130, 358, 186), (171, 116, 213, 168), (453, 144, 495, 200)]"
29,627718c232c1ab1dcf847fd823051970-rot.jpg,16,0.7342633580000211,"[(511, 161, 613, 239), (442, 30, 540, 105), (462, 402, 555, 474), (392, 239, 480, 308), (476, 522, 564, 590), (369, 179, 462, 248), (345, 355, 437, 421), (362, 62, 462, 137), (492, 98, 586, 166), (388, -44, 502, 40), (434, 618, 522, 676), (367, 464, 442, 527), (394, 525, 470, 582), (415, 346, 495, 404), (397, 148, 472, 202), (411, 324, 489, 372)]"
